"state","gdpPerCapita2022","gdpQ42022","pop2023"
"District of Columbia",96728,66093,674815
"Connecticut",84972,1,312922,3629055
"Massachusetts",84945,2,612246,6974258
"New Jersey",78700,3,742373,9255437
"New York",78089,4,1571690,19496810
"California",77339,5,3104993,38915693
"Washington",75698,6,604920,7830827
"New Hampshire",74663,7,106403,1402957
"Colorado",74167,8,440224,5868555
"Wyoming",71342,9,42362,583279
"Maryland",70730,10,444913,6154710
"Alaska",68919,11,51994,732984
"Illinois",68822,12,882683,12477595
"Virginia",68211,13,608467,8709873
"Minnesota",68010,14,399141,5722897
"North Dakota",66184,15,52920,780588
"South Dakota",65806,16,60966,923484
"Rhode Island",65377,17,72935,1090483
"Pennsylvania",65167,18,863610,12931957
"Florida",63597,19,1462687,22661577
"Nebraska",63321,20,127422,1972292
"Vermont",63206,21,41761,647156
"Oregon",62767,22,271576,4223973
"Texas",61985,23,1919867,30500280
"Delaware",61387,24,64436,1031985
"Nevada",61282,25,200957,3209142
"Wisconsin",61210,26,369685,5904977
"Hawaii",61175,27,91158,1433238
"Kansas",60152,28,180925,2936378
"Maine",59463,29,83775,1393442
"Iowa",58905,30,192495,3203345
"Tennessee",58279,31,422562,7134327
"Indiana",57930,32,406373,6852542
"Utah",57925,33,202023,3422487
"Ohio",57880,34,694402,11747774
"Montana",57719,35,66385,1139507
"North Carolina",57416,36,628204,10832061
"Georgia",57129,37,638679,11037723
"Michigan",56813,38,579532,10030722
"Arizona",56667,39,428476,7453517
"Missouri",56551,40,358840,6186091
"Oklahoma",54998,41,226304,4048375
"Louisiana",54622,42,255985,4553384
"Idaho",54537,43,109736,1973752
"South Carolina",53320,44,290714,5372002
"Kentucky",52109,45,239660,4518031
"Arkansas",51787,46,162459,3063152
"New Mexico",51500,47,111024,2110011
"Alabama",50637,48,263970,5098746
"West Virginia",49169,49,88819,1764786
"Mississippi",46248,50,138682,2930528
