State,Mode,Year,Commute mode share (percent)
Alabama,Bicycle,2010,0.00118969
Alaska,Bicycle,2010,0.013225634
Arizona,Bicycle,2010,0.008506625
Arkansas,Bicycle,2010,0.000608499
California,Bicycle,2010,0.010050325
Colorado,Bicycle,2010,0.011351665
Connecticut,Bicycle,2010,0.002533353
Delaware,Bicycle,2010,0.001559236
District of Columbia,Bicycle,2010,0.031302554
Florida,Bicycle,2010,0.006484384
Georgia,Bicycle,2010,0.002063611
Hawaii,Bicycle,2010,0.0086004
Idaho,Bicycle,2010,0.0121124
Illinois,Bicycle,2010,0.00577058
Indiana,Bicycle,2010,0.004065786
Iowa,Bicycle,2010,0.005220304
Kansas,Bicycle,2010,0.003804509
Kentucky,Bicycle,2010,0.001780548
Louisiana,Bicycle,2010,0.003454651
Maine,Bicycle,2010,0.006658827
Maryland,Bicycle,2010,0.001992313
Massachusetts,Bicycle,2010,0.006261054
Michigan,Bicycle,2010,0.003771785
Minnesota,Bicycle,2010,0.006517373
Mississippi,Bicycle,2010,0.0007578
Missouri,Bicycle,2010,0.002603446
Montana,Bicycle,2010,0.010747895
Nebraska,Bicycle,2010,0.004104646
Nevada,Bicycle,2010,0.006202352
New Hampshire,Bicycle,2010,0.001570023
New Jersey,Bicycle,2010,0.003888626
New Mexico,Bicycle,2010,0.006428046
New York,Bicycle,2010,0.004726529
North Carolina,Bicycle,2010,0.002417977
North Dakota,Bicycle,2010,0.005900123
Ohio,Bicycle,2010,0.002971055
Oklahoma,Bicycle,2010,0.002446821
Oregon,Bicycle,2010,0.022468591
Pennsylvania,Bicycle,2010,0.00394177
Rhode Island,Bicycle,2010,0.007021009
South Carolina,Bicycle,2010,0.003647031
South Dakota,Bicycle,2010,0.004587883
Tennessee,Bicycle,2010,0.001278182
Texas,Bicycle,2010,0.002366789
United States,Bicycle,2010,0.005340153
Utah,Bicycle,2010,0.007145336
Vermont,Bicycle,2010,0.005937105
Virginia,Bicycle,2010,0.00335212
Washington,Bicycle,2010,0.009151272
West Virginia,Bicycle,2010,0.001279553
Wisconsin,Bicycle,2010,0.007522892
Wyoming,Bicycle,2010,0.008574399
Alabama,Carpool,2010,0.100058972
Alaska,Carpool,2010,0.132128215
Arizona,Carpool,2010,0.116392349
Arkansas,Carpool,2010,0.112846339
California,Carpool,2010,0.115035699
Colorado,Carpool,2010,0.100422058
Connecticut,Carpool,2010,0.079596842
Delaware,Carpool,2010,0.094712457
District of Columbia,Carpool,2010,0.059416885
Florida,Carpool,2010,0.096270329
Georgia,Carpool,2010,0.103029511
Hawaii,Carpool,2010,0.137743327
Idaho,Carpool,2010,0.099226442
Illinois,Carpool,2010,0.086737887
Indiana,Carpool,2010,0.085312979
Iowa,Carpool,2010,0.097019565
Kansas,Carpool,2010,0.091494384
Kentucky,Carpool,2010,0.103431507
Louisiana,Carpool,2010,0.106903194
Maine,Carpool,2010,0.088715845
Maryland,Carpool,2010,0.106789595
Massachusetts,Carpool,2010,0.078222561
Michigan,Carpool,2010,0.085903052
Minnesota,Carpool,2010,0.085385854
Mississippi,Carpool,2010,0.10008139
Missouri,Carpool,2010,0.09268578
Montana,Carpool,2010,0.097089827
Nebraska,Carpool,2010,0.097906978
Nevada,Carpool,2010,0.109796996
New Hampshire,Carpool,2010,0.077154363
New Jersey,Carpool,2010,0.083984069
New Mexico,Carpool,2010,0.10408889
New York,Carpool,2010,0.069044788
North Carolina,Carpool,2010,0.100615842
North Dakota,Carpool,2010,0.086439722
Ohio,Carpool,2010,0.077501829
Oklahoma,Carpool,2010,0.11162609
Oregon,Carpool,2010,0.099992555
Pennsylvania,Carpool,2010,0.088212903
Rhode Island,Carpool,2010,0.081997883
South Carolina,Carpool,2010,0.093341923
