Uses Public Transportation (%),State,GDP per Capita ($),Density (per square mile),Population,Registered Vehicles,Cars per Houshold (AVG),No Access to Cars (%),Unemployment Rate (%),High School or Higher (%),Bachelors or Higher (%)
0.23,Alabama,50637,99.509912915,5039877,5288209,1.92,6.03,3.9,86.9,26.2
0.87,Alaska,68919,1.2830925496,732673,795274,1.81,9.93,6.6,93.1,30.0
0.94,Arizona,56667,64.022113803,7276316,5982559,1.84,5.97,4.8,87.9,30.3
0.19,Arkansas,51787,58.194678618,3025891,2902111,1.84,6.39,3.7,87.2,23.8
2.07,California,77339,251.75436223,39237836,31247270,1.92,7.07,4.2,83.9,34.7
1.32,Colorado,74167,56.081421447,5812069,5412403,1.96,5.14,3.3,92.1,41.6
2.46,Connecticut,84972,744.55699104,3605597,2878547,1.77,8.66,4.1,90.9,40.0
1.63,Delaware,61387,514.93862029,1003384,1016927,1.81,5.67,3.8,90.6,32.7
11.62,District of Columbia,96728,10961.845722,670050,0,0.0,0.0,5.6,91.9,59.8
0.97,Florida,63597,405.98041819,21781128,17833719,1.7,6.15,3.6,88.5,30.5
0.71,Georgia,57129,187.11258523,10799566,8594567,1.86,6.44,3.9,87.9,32.2
3.29,Hawaii,61175,224.45613791,1441553,1272361,1.85,7.71,2.4,92.5,33.6
0.48,Idaho,54537,23.001022601,1900923,1954528,2.13,4.1,2.8,91.3,28.7
3.83,Illinois,68822,228.2588546,12671469,10691947,1.67,11.06,4.3,89.7,35.5
0.56,Indiana,57930,189.97357795,6805985,6223459,1.87,6.49,3.4,89.3,27.2
0.49,Iowa,58905,57.169008467,3193079,3786328,1.95,6.06,2.5,92.5,29.3
0.27,Kansas,60152,35.893253619,2934582,2682337,1.96,5.34,3.4,91.4,33.9
0.53,Kentucky,52109,114.18646796,4509394,4383222,1.85,7.24,4.3,87.2,25.0
0.75,Louisiana,54622,107.01035949,4624047,3802746,1.68,8.52,4.9,85.9,24.9
0.26,Maine,59463,44.488287401,1372247,1130055,1.8,6.36,3.4,93.2,32.5
2.99,Maryland,70730,634.8490376,6165129,4203994,1.8,9.09,3.9,90.6,40.9
4.5,Massachusetts,84945,895.36953013,6984723,5061260,1.62,12.42,3.3,91.1,44.5
0.84,Michigan,56813,177.55193594,10050811,8440064,1.77,7.52,4.1,91.3,30.0
1.4,Minnesota,68010,71.677007309,5707390,5425884,1.89,6.6,2.9,93.4,36.8
0.23,Mississippi,46248,62.866946395,2949965,2066680,1.86,6.49,4.8,85.3,22.8
0.77,Missouri,56551,89.723503599,6168187,5534289,1.84,6.93,3.2,90.6,29.9
0.41,Montana,57719,7.5868654853,1104271,1900806,2.07,4.59,3.7,94.0,33.1
0.42,Nebraska,63321,25.56296437,1963692,1968480,1.98,5.39,2.8,91.6,32.5
1.98,Nevada,61282,28.618062094,3143991,2546583,1.81,7.07,4.6,86.9,25.5
0.35,New Hampshire,74663,155.12950348,1388992,1363379,1.9,5.29,2.5,93.3,37.6
5.87,New Jersey,78700,1260.0290755,9267130,6033015,1.68,11.56,4.1,90.3,40.7
0.37,New Mexico,51500,17.441507027,2115877,1825421,1.91,5.84,4.9,86.5,28.1
17.26,New York,78089,420.93596008,19835913,11389158,1.25,29.37,4.1,87.2,37.5
0.51,North Carolina,57416,216.99971703,10551162,8527388,1.91,5.8,3.9,88.5,32.0
0.27,North Dakota,66184,11.231803902,774948,903668,1.97,5.34,2.6,93.1,30.7
0.81,Ohio,57880,288.30981725,11780017,10901279,1.79,7.72,4.6,90.8,28.9
0.18,Oklahoma,54998,58.117159393,3986639,3706624,1.9,5.62,3.4,88.6,26.1
1.65,Oregon,62767,44.232678273,4246155,3919158,1.88,7.75,4.2,91.1,34.4
2.79,Pennsylvania,65167,289.74978553,12964056,10800315,1.69,11.0,4.3,91.0,32.3
1.15,Rhode Island,65377,1059.6989939,1095610,868942,1.67,9.73,4.1,89.2,35.0
0.32,South Carolina,53320,172.65344876,5190705,4516143,1.87,5.95,3.4,88.3,29.0
0.42,South Dakota,65806,11.810848986,895376,1280969,2.04,5.1,3.0,92.2,29.3
0.36,Tennessee,58279,169.16790214,6975218,5817887,1.93,5.65,3.5,88.2,28.2
0.75,Texas,61985,113.01820138,29527941,23007145,1.87,5.39,3.9,84.4,30.7
1.33,Utah,57925,40.520795603,3337975,2430276,2.15,3.85,3.1,93.0,34.7
0.52,Vermont,63206,70.037811804,645570,620428,1.74,6.87,2.7,93.5,39.7
1.48,Virginia,68211,218.89051189,8642274,7647691,1.94,6.14,3.0,90.3,39.5
2.12,Washington,75698,116.44970943,7738692,7377028,1.93,7.11,4.5,91.7,36.7
0.36,West Virginia,49169,74.162762892,1782959,1668114,1.76,9.28,5.3,87.6,21.3
0.86,Wisconsin,61210,108.84615502,5895908,5666399,1.83,6.71,3.0,92.6,30.8
0.79,Wyoming,71342,5.9615893092,578803,843672,2.14,4.37,4.1,93.6,28.2
